"","Name","Width","Height","Unmasked_Pixels","MeanRcc"
"139","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_144_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.345968603948349
"140","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_145_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.365090979209936
"141","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_146_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.358409697019662
"142","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_147_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.362172226976991
"143","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_148_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.330674010285493
"144","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_149_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.356125561303291
"145","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_150_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.349433848971459
"146","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_151_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.363961452702786
"147","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_152_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.364293215011827
"148","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_153_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.354915855943598
"149","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_154_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.356003256323693
"150","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_155_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.343743115907086
"151","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_156_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.350937731351076
"152","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_157_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.34675434836994
"153","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_158_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.345475438921149
"154","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_159_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335021486035086
"155","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_160_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.327957625054282
"156","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_161_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.338905688251357
"157","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_162_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.319516401832234
"158","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_163_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.3232596615121
"159","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_164_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.340801698131734
"160","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_165_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.339517137078436
"161","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_166_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.320852404171495
"162","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_167_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.317838207281953
"163","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_168_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.32441320083929
"164","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_169_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.32527170514079
"165","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_170_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331528995925557
"166","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_171_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.324782350392138
"167","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_172_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.320186731830801
"168","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_173_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.30885823857134
